artist_id,artist_name,popularity
341213,joanie sommers,0.47
1245331,pegase,0.49
3511045,sandro bianchi vicent vicenzo,0.29
40292,alizée,0.52
412,gemma hayes,0.52
31038,as cities burn,0.46
382,gorillaz,0.69
670441,aurea,0.48
48502,jerome isma-ae,0.46
9312,andreas johnson,0.5
83734,darkest hour,0.49
583537,the parrots,0.46
3252217,nadia rose,0.38
610887,french montana,0.63
912853,ringtone masters,0.46
85890,reginald dixon,0.47
184617,360,0.59
41600,freddy quinn,0.5
26582,thom yorke,0.52
36786,don-e,0.46
322213,audrey hepburn,0.48
6493,de vision,0.49
140736,pretty maids,0.49
7006,samantha fox,0.54
69198,mf doom,0.57
207972,junior caldera,0.48
256522,rev milton brunson,0.47
411032,70s music all stars,0.47
14216,the national,0.62
3486061,jones honne,0.32
2314628,jeff russo,0.49
266560,esther williams,0.47
26669,miossec,0.49
483930,givers,0.47
117240,london philharmonic orchestra sir john pritchard,0.47
1217217,unisonic,0.51
21192,dario marianelli,0.51
9124,sanctuary,0.46
1018263,sachin-jigar,0.37
163245,man man,0.47
5976,dame moura lympany,0.48
11949,112,0.6
101431,operababes,0.47
508318,bjøro håland,0.49
1210596,luke benward,0.48
21984,bill monroe his blue grass boys,0.48
1911610,q lazzarus,0.46
494826,the chipmunks the chipettes,0.51
1969464,songs that don't suck,0.5
27359,earl bostic,0.47
353575,anchor braille,0.49
3027,bad boys blue,0.5
4735,the replacements,0.53
1086603,dappy,0.57
1908812,the goodmans,0.47
2374977,justin furstenfeld,0.46
1039652,ray foxx,0.5
1017920,african drums music,0.53
118936,yeasayer,0.54
1230851,the new york synthony orchestra,0.46
229064,laura bell bundy,0.5
5696,olga tañon,0.46
295735,tangier,0.46
3331212,henri dutilleux wolfgang amadeus mozart frédéric chopin ludwig van beethoven johann sebastian bach erik satie richard wagner franz schubert jules massenet robert schumann gabriel fauré maurice ravel edvard grieg,0.31
2949520,cartoon feat daniel levi,0.48
26484,bif naked,0.46
46787,the jacksons,0.61
718014,philip selway,0.46
54346,camille jones,0.47
23451,luba,0.46
10933,john mayall 's bluesbreakers,0.46
13982,héroes del silencio,0.54
52070,big audio dynamite,0.52
105692,najwa karam,0.48
189189,solu music,0.47
2022684,je'kob,0.51
2049168,ahrix,0.46
1243113,the treblemakers,0.59
1031759,sleeping music,0.5
28570,the chicharones,0.46
2022133,dj lilman,0.48
280555,soul brothers six,0.48
120228,freddie aguilar,0.49
3226103,original cast recording musical cast recording,0.3
7583,red dragon,0.47
295106,duelo,0.52
993946,the dirty dancing allstars,0.46
2022036,droptek,0.46
297890,tombs,0.48
290532,dawkins dawkins,0.46
315945,the hollywood band,0.46
1063645,ab-soul,0.5
39757,the only ones,0.48
15565,janet paschal,0.48
479612,brooke waggoner,0.47
2147001,meditative music guru,0.5
1189246,french montana charlie rock,0.46
742140,the twilight saga,0.5
82191,no fun at all,0.51
145587,dieter nuhr,0.5
2364104,izabell,0.48
31569,the pharcyde,0.55
2806046,the brooklyn philharmonic orchestra,0.46
66576,felinos,0.47
14099,jools holland,0.56
298075,karin park,0.5
111260,fates warning,0.5
2985606,classical new age piano music instrumental piano academy instrumental piano music,0.32
43571,miami sound machine,0.53
83100,climie fisher,0.51
499899,bjørn hellfuck,0.52
33135,junkie xl,0.57
574393,washed out,0.56
517893,breton,0.51
1425223,asap rocky,0.52
43693,inner life,0.46
2626205,jamie foxx feat chris brown,0.32
229503,benny hill,0.52
332768,fly2 project,0.46
516443,randy crawford joe sample,0.46
487026,ben howard,0.67
349378,allen stone,0.52
22224,jolin tsai,0.51
188266,gaelle,0.47
29481,mewithoutyou,0.51
1294842,swanson,0.29
162,thin lizzy,0.62
2088319,edm hits now,0.46
83781,chapterhouse,0.46
87190,sunny day real estate,0.48
12566,m83,0.65
20054,cozy powell,0.48
3261,giorgia,0.57
1895765,kygo,0.77
3201356,central sound,0.55
3148,haircut 100,0.54
3187244,james yammouni,0.53
3352902,mitch rivers,0.29
1051070,simen sand,0.46
86684,alex gaudino,0.58
1294142,adam martin,0.46
36314,vineyard music,0.55
176615,royal ballet sinfonia,0.5
361063,8mm,0.46
15670,ten years after,0.57
14642,pale saints,0.46
9602,betty wright,0.53
243710,fun factory,0.46
29620,mulatu astatke,0.48
264641,bjelleklang,0.49
9878,mando diao,0.54
2518164,alyssa lynch jay gruska tim pierce,0.47
73945,andrea bocelli veronica berti,0.46
3279452,skepta featuring novelist,0.5
1515067,east india youth,0.52
2260903,aron wright,0.5
1078556,pras michael,0.46
5734,isabelle boulay,0.46
66283,set your goals,0.47
2218084,tomsize simeon,0.47
47223,steve angello,0.54
1379,nils lofgren,0.52
11129,mark hollis,0.47
1912944,toygar işıklı,0.47
1890702,zomboy feat lady chann,0.46
7136,van hunt,0.46
420588,kellylee evans,0.47
91684,the alliance,0.46
106094,ingrid michaelson,0.57
193350,roberto loreggian,0.47
20689,ernest tubb,0.54
7645,natalie,0.48
2107280,sbi audio karaoke,0.46
2386573,calming sounds,0.38
331817,iko,0.49
91174,tigran hamasyan,0.46
862868,joe moses,0.49
44369,nektar,0.47
2061689,jhené aiko kendrick lamar,0.46
2061879,topp dogg,0.51
100448,cary brothers,0.5
3539560,jennifer lopez marc anthony,0.31
1150352,the last ten seconds of life,0.49
95566,kali,0.46
3443234,cashmere cat the weeknd francis and the lights,0.3
39742,falamansa,0.49
3048302,the hunna,0.4
15755,eden 's bridge,0.46
10839,something corporate,0.52
102816,e-z rollers,0.48
10761,ying yang twins,0.56
2118188,softengine,0.47
